"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"dwm","1","1068","2203677765632","12193792","61497344","53712","C:\Windows\system32\dwm.exe","Microsoft Corporation","23.90625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Desktop Window Manager","Microsoft? Windows? Operating System","Process","13",,"False",,"3380","Microsoft.Win32.SafeHandles.SafeProcessHandle","1068","404",".","0","","System.Diagnostics.ProcessModule (dwm.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","53712","53712","61497344","61497344","638304","638304","78495744","78495744","75235328","75235328","398176256","2203716399104","True","High","61497344","61497344","00:00:09.3906250","dwm","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 2:49:33 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:23.9062500","00:00:14.5156250","359542784","2203677765632","False",,,,"12193792","12193792",,
"explorer","1","1927","2203859202048","24092672","43253760","81000","C:\Windows\Explorer.EXE","Microsoft Corporation","8.84375","10.0.19041.610 (WinBuild.160101.0800)","10.0.19041.610","Windows Explorer","Microsoft? Windows? Operating System","Process","8",,"False",,"3076","Microsoft.Win32.SafeHandles.SafeProcessHandle","1927","1496",".","65692","","System.Diagnostics.ProcessModule (Explorer.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","81000","81000","43253760","43253760","932304","932304","65400832","65400832","101060608","101060608","598241280","2203916464128","True","Normal","43253760","43253760","00:00:05.8281250","explorer","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 2:50:49 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.8437500","00:00:03.0156250","540979200","2203859202048","False",,,,"24092672","24092672",,
"fontdrvhost","1","39","2203387768832","0","1548288","5840","C:\Windows\system32\fontdrvhost.exe","Microsoft Corporation","0.0625","10.0.19041.546 (WinBuild.160101.0800)","10.0.19041.546","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3884","Microsoft.Win32.SafeHandles.SafeProcessHandle","39","836",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5840","5840","1548288","1548288","39448","39448","1576960","1576960","3653632","3653632","70135808","2203388358656","True","Normal","1548288","1548288","00:00:00.0312500","fontdrvhost","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 2:49:29 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0312500","69545984","2203387768832","False",,,,"0","0",,
"fontdrvhost","0","39","2203386548224","0","1310720","5568","C:\Windows\system32\fontdrvhost.exe","Microsoft Corporation","0.078125","10.0.19041.546 (WinBuild.160101.0800)","10.0.19041.546","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3264","Microsoft.Win32.SafeHandles.SafeProcessHandle","39","844",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5568","5568","1310720","1310720","37064","37064","1368064","1368064","3448832","3448832","69378048","2203387600896","True","Normal","1310720","1310720","00:00:00.0625000","fontdrvhost","3","True","0","System.Diagnostics.ProcessStartInfo","11/23/2020 2:49:29 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00.0156250","68325376","2203386548224","False",,,,"0","0",,
"Idle","0","0","8192","8192","61440","272",,,,,,,,"Process","0",,,,,,"0","0",".","0","",,,,,"272","272","61440","61440","0","0","61440","61440","12288","12288","8192","8192",,,"61440","61440",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"8192","8192","False",,,,"8192","8192",,
"lsass","0","1215","2203414786048","2383872","6799360","24704","C:\Windows\system32\lsass.exe","Microsoft Corporation","3.734375","10.0.19041.546 (WinBuild.160101.0800)","10.0.19041.546","Local Security Authority Process","Microsoft? Windows? Operating System","Process","9",,"False",,"1384","Microsoft.Win32.SafeHandles.SafeProcessHandle","1215","688",".","0","","System.Diagnostics.ProcessModule (lsass.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24704","24704","6799360","6799360","148440","148440","7143424","7143424","14069760","14069760","100196352","2203418419200","True","Normal","6799360","6799360","00:00:02.1875000","lsass","3","True","0","System.Diagnostics.ProcessStartInfo","11/23/2020 2:49:26 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.7343750","00:00:01.5468750","96563200","2203414786048","False",,,,"2383872","2383872",,
"Memory Compression","0","0","269221888","247009280","659456","0",,,"95.96875",,,,,"Process","8",,,,,,"0","1888",".","0","",,,,,"0","0","659456","659456","4224","4224","729088","729088","314732544","314732544","337117184","337117184",,,"659456","659456","00:01:35.9687500","Memory Compression",,"True","0","System.Diagnostics.ProcessStartInfo","11/23/2020 2:49:41 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:35.9687500","00:00:00","269221888","269221888","False",,,,"247009280","247009280",,
"Microsoft.Photos","1","818","5165817856","0","50008064","50200","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2020.20090.1002.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe","Microsoft Corporation","1.359375","2020.20090.1002.00000","2020.20090.100200000-release2020.06","Microsoft.Photos.exe","Microsoft Photos","Process","8",,"False",,"3792","Microsoft.Win32.SafeHandles.SafeProcessHandle","818","5912",".","0","","System.Diagnostics.ProcessModule (Microsoft.Photos.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","50200","50200","50008064","50008064","718088","718088","50819072","50819072","102350848","102350848","877125632","5172092928","True","Normal","50008064","50008064","00:00:00.8281250","Microsoft.Photos","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 3:20:46 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.3593750","00:00:00.5312500","870850560","5165817856","False",,,,"0","0",,
"MicrosoftEdge","1","934","2203745218560","0","27070464","53288","C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdge.exe","Microsoft Corporation","0.703125","11.00.19041.546 (WinBuild.160101.0800)","11.00.19041.546","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"3868","Microsoft.Win32.SafeHandles.SafeProcessHandle","934","3272",".","197646","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","53288","53288","27070464","27070464","759056","759056","28368896","28368896","76496896","76496896","436432896","2203754655744","True","Normal","27070464","27070464","00:00:00.4531250","MicrosoftEdge","3","False","1","System.Diagnostics.ProcessStartInfo","11/23/2020 4:30:19 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7031250","00:00:00.2500000","426995712","2203745218560","False",,,,"0","0",,
"MicrosoftEdgeCP","1","1083","2238774063104","0","158674944","132416","C:\Windows\System32\MicrosoftEdgeCP.exe","Microsoft Corporation","4.25","11.00.19041.1 (WinBuild.160101.0800)","11.00.19041.1","Microsoft Edge Content Process","Microsoft Edge Web Platform","Process","8",,"False",,"3952","Microsoft.Win32.SafeHandles.SafeProcessHandle","1083","5068",".","131628","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","132416","132416","158674944","158674944","1661272","1661272","187453440","187453440","228405248","228405248","1112907776","2238790868992","True","Normal","158674944","158674944","00:00:01.4375000","MicrosoftEdgeCP","3","False","1","System.Diagnostics.ProcessStartInfo","11/23/2020 4:30:20 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.2500000","00:00:02.8125000","1096101888","2238774063104","False",,,,"0","0",,
